"Complete Payment","إكمال الدفع",""
"Total Amount","المبلغ الإجمالي",""
"Remaining","المتبقي",""
"Change","الباقي",""
"Paid in Full","مدفوع بالكامل",""
"paid of","مدفوع من",""
"Customer Credit Available","رصيد العميل متاح",""
"Customer Outstanding Balance","رصيد العميل المستحق",""
"Credit can be applied to invoice","يمكن تطبيق الرصيد على الفاتورة",""
"Amount owed by customer","المبلغ المستحق على العميل",""
"No outstanding balance","لا يوجد رصيد مستحق",""
"Save","حفظ",""
"Cancel","إلغاء",""
"Submit","إرسال",""
"Delete","حذف",""
"Edit","تعديل",""
"Search","بحث",""
"Close","إغلاق",""
"Confirm","تأكيد",""
"Yes","نعم",""
"No","لا",""
"Loading...","جاري التحميل...",""
"Error","خطأ",""
"Success","نجح",""
"Warning","تحذير",""
"Information","معلومات",""
"Add Item","إضافة منتج",""
"Select Customer","اختر عميل",""
"Create Customer","إنشاء عميل جديد",""
"Discount","خصم",""
"Tax","ضريبة",""
"Total","الإجمالي",""
"Checkout","إتمام الشراء",""
"Clear Cart","إفراغ السلة",""
"Hold Invoice","تعليق الفاتورة",""
"Print Receipt","طباعة الإيصال",""
"No stock available","لا يوجد مخزون متاح",""
"Item added to cart","تمت إضافة المنتج للسلة",""
"Item removed from cart","تمت إزالة المنتج من السلة",""
"Open Shift","فتح وردية",""
"Close Shift","إغلاق وردية",""
"Shift Opening","فتح الوردية",""
"Shift Closing","إغلاق الوردية",""
"Opening Amount","المبلغ الافتتاحي",""
"Closing Amount","المبلغ الختامي",""
"Cash in Hand","النقد في الصندوق",""
"Expected Amount","المبلغ المتوقع",""
"Difference","الفرق",""
"Draft Invoices","الفواتير المسودة",""
"Invoice History","سجل الفواتير",""
"Offline Invoices","الفواتير غير المتصلة",""
"Return Invoice","إرجاع فاتورة",""
"Invoice Number","رقم الفاتورة",""
"Date","التاريخ",""
"Customer","العميل",""
"Amount","المبلغ",""
"Status","الحالة",""
"Paid","مدفوع",""
"Unpaid","غير مدفوع",""
"Partially Paid","مدفوع جزئياً",""
"Settings","الإعدادات",""
"General","عام",""
"Appearance","المظهر",""
"Language","اللغة",""
"Select Language","اختر اللغة",""
"Theme","السمة",""
"Notifications","الإشعارات",""
"Receipt Settings","إعدادات الإيصال",""
"Hardware","الأجهزة",""
"POS Profile","ملف نقطة البيع",""
"Network connection error","خطأ في الاتصال بالشبكة",""
"Session expired, please login again","انتهت الجلسة، يرجى تسجيل الدخول مرة أخرى",""
"Insufficient stock for {0}","مخزون غير كافٍ لـ {0}",""
"Invalid quantity","كمية غير صحيحة",""
"Please select a customer","يرجى اختيار عميل",""
"Payment processing failed","فشلت عملية الدفع",""
"An unexpected error occurred","حدث خطأ غير متوقع",""
"This field is required","هذا الحقل مطلوب",""
"Minimum length is {0} characters","الحد الأدنى للطول هو {0} حرفاً",""
"Maximum length is {0} characters","الحد الأقصى للطول هو {0} حرفاً",""
"Please enter a valid email address","يرجى إدخال بريد إلكتروني صحيح",""
"Please enter a valid phone number","يرجى إدخال رقم هاتف صحيح",""
"Please enter a valid number","يرجى إدخال رقم صحيح",""
"Value must be positive","يجب أن تكون القيمة موجبة",""
"Customer Credit","رصيد العميل",""
"Available Credit","الرصيد المتاح",""
"Payment Methods","طرق الدفع",""
"Cash","نقداً",""
"Card","بطاقة",""
"Wallet","محفظة إلكترونية",""
"Bank Transfer","تحويل بنكي",""
"Item","منتج",""
"Items","منتجات",""
"Quantity","الكمية",""
"Price","السعر",""
"Subtotal","المجموع الفرعي",""
"Grand Total","المجموع الكلي",""
"Apply","تطبيق",""
"Apply Coupon","تطبيق كوبون",""
"Coupon Code","رمز الكوبون",""
"Remove","إزالة",""
"Add","إضافة",""
"Update","تحديث",""
"Refresh","تحديث",""
"Reload","إعادة تحميل",""
"Print","طباعة",""
"Download","تحميل",""
"Upload","رفع",""
"Import","استيراد",""
"Export","تصدير",""
"Filter","تصفية",""
"Sort","ترتيب",""
"Ascending","تصاعدي",""
"Descending","تنازلي",""
"All","الكل",""
"None","لا شيء",""
"Select All","اختيار الكل",""
"Deselect All","إلغاء اختيار الكل",""
"Name","الاسم",""
"Email","البريد الإلكتروني",""
"Phone","الهاتف",""
"Address","العنوان",""
"City","المدينة",""
"State","الولاية",""
"Country","الدولة",""
"Postal Code","الرمز البريدي",""
"Notes","ملاحظات",""
"Description","الوصف",""
"Category","الفئة",""
"Type","النوع",""
"Unit","الوحدة",""
"Stock","المخزون",""
"Available","متاح",""
"Out of Stock","نفد المخزون",""
"Low Stock","مخزون منخفض",""
"In Stock","متوفر",""
"Barcode","الباركود",""
"SKU","رمز التخزين",""
"Image","الصورة",""
"Gallery","المعرض",""
"Product","المنتج",""
"Products","المنتجات",""
"Service","خدمة",""
"Services","خدمات",""
"Order","طلب",""
"Orders","طلبات",""
"Invoice","فاتورة",""
"Invoices","فواتير",""
"Payment","دفعة",""
"Payments","دفعات",""
"Receipt","إيصال",""
"Receipts","إيصالات",""
"Refund","استرداد",""
"Refunds","استردادات",""
"Return","إرجاع",""
"Returns","إرجاعات",""
"Exchange","استبدال",""
"Exchanges","استبدالات",""
"Sale","بيع",""
"Sales","مبيعات",""
"Purchase","شراء",""
"Purchases","مشتريات",""
"Report","تقرير",""
"Reports","تقارير",""
"Dashboard","لوحة التحكم",""
"Home","الرئيسية",""
"Profile","الملف الشخصي",""
"Account","الحساب",""
"Logout","تسجيل الخروج",""
"Login","تسجيل الدخول",""
"Sign In","تسجيل الدخول",""
"Sign Up","إنشاء حساب",""
"Register","تسجيل",""
"Password","كلمة المرور",""
"Username","اسم المستخدم",""
"Remember Me","تذكرني",""
"Forgot Password?","نسيت كلمة المرور؟",""
"Reset Password","إعادة تعيين كلمة المرور",""
"Change Password","تغيير كلمة المرور",""
"Old Password","كلمة المرور القديمة",""
"New Password","كلمة المرور الجديدة",""
"Confirm Password","تأكيد كلمة المرور",""
"Today","اليوم",""
"Yesterday","أمس",""
"This Week","هذا الأسبوع",""
"Last Week","الأسبوع الماضي",""
"This Month","هذا الشهر",""
"Last Month","الشهر الماضي",""
"This Year","هذا العام",""
"Last Year","العام الماضي",""
"Custom Range","نطاق مخصص",""
"From","من",""
"To","إلى",""
"Start Date","تاريخ البدء",""
"End Date","تاريخ الانتهاء",""
"Time","الوقت",""
"Hour","ساعة",""
"Hours","ساعات",""
"Minute","دقيقة",""
"Minutes","دقائق",""
"Second","ثانية",""
"Seconds","ثواني",""
"Day","يوم",""
"Days","أيام",""
"Week","أسبوع",""
"Weeks","أسابيع",""
"Month","شهر",""
"Months","أشهر",""
"Year","سنة",""
"Years","سنوات",""
"Are you sure?","هل أنت متأكد؟",""
"This action cannot be undone","لا يمكن التراجع عن هذا الإجراء",""
"Confirm Delete","تأكيد الحذف",""
"Confirm Action","تأكيد الإجراء",""
"Processing...","جاري المعالجة...",""
"Please wait...","يرجى الانتظار...",""
"Saving...","جاري الحفظ...",""
"Loading data...","جاري تحميل البيانات...",""
"No data available","لا توجد بيانات متاحة",""
"No results found","لم يتم العثور على نتائج",""
"Search results","نتائج البحث",""
"Showing {0} to {1} of {2} entries","عرض {0} إلى {1} من {2} إدخال",""
"Page","صفحة",""
"Previous","السابق",""
"Next","التالي",""
"First","الأول",""
"Last","الأخير",""
"per page","لكل صفحة",""
"View","عرض",""
"View Details","عرض التفاصيل",""
"Edit Details","تعديل التفاصيل",""
"Copy","نسخ",""
"Duplicate","تكرار",""
"Archive","أرشفة",""
"Restore","استعادة",""
"Move","نقل",""
"Rename","إعادة تسمية",""
"Share","مشاركة",""
"Download PDF","تحميل PDF",""
"Send Email","إرسال بريد إلكتروني",""
"Print Invoice","طباعة الفاتورة",""
"Email Invoice","إرسال الفاتورة بالبريد",""
"Mark as Paid","وضع علامة كمدفوع",""
"Mark as Unpaid","وضع علامة كغير مدفوع",""
"Payment Received","تم استلام الدفعة",""
"Payment Pending","الدفع معلق",""
"Payment Failed","فشل الدفع",""
"Completed","مكتمل",""
"Pending","معلق",""
"Processing","قيد المعالجة",""
"Cancelled","ملغى",""
"Refunded","مسترد",""
"Draft","مسودة",""
"Submitted","مرسل",""
"Approved","معتمد",""
"Rejected","مرفوض",""
"Active","نشط",""
"Inactive","غير نشط",""
"Enabled","مفعّل",""
"Disabled","معطّل",""
"Online","متصل",""
"Offline","غير متصل",""
"Connected","متصل",""
"Disconnected","غير متصل",""
"Synced","متزامن",""
"Not Synced","غير متزامن",""
"Syncing...","جاري المزامنة...",""
"Last Sync","آخر مزامنة",""
"Sync Now","مزامنة الآن",""
"Auto Sync","مزامنة تلقائية",""
"Manual Sync","مزامنة يدوية",""
"Clear Cache","مسح ذاكرة التخزين المؤقت",""
"Reset Settings","إعادة تعيين الإعدادات",""
"Restore Defaults","استعادة الإعدادات الافتراضية",""
"About","حول",""
"Help","مساعدة",""
"Support","الدعم",""
"Documentation","التوثيق",""
"Version","الإصدار",""
"License","الترخيص",""
"Privacy Policy","سياسة الخصوصية",""
"Terms of Service","شروط الخدمة",""
"Contact Us","اتصل بنا",""
"Feedback","ملاحظات",""
"Rate Us","قيّمنا",""
"More","المزيد",""
"Less","أقل",""
"Show More","عرض المزيد",""
"Show Less","عرض أقل",""
"Expand","توسيع",""
"Collapse","طي",""
"Full Screen","ملء الشاشة",""
"Exit Full Screen","الخروج من ملء الشاشة",""
"POS Next","نقطة البيع التالية",""
"Shift Open:","الوردية مفتوحة:",""
"Offline ({0} pending)","غير متصل ({0} معلق)",""
"Online - Click to sync","متصل - انقر للمزامنة",""
"Offline mode active","وضع عدم الاتصال نشط",""
"Online mode active","وضع الاتصال نشط",""
"Cache","ذاكرة التخزين المؤقت",""
"Items:","العناصر:",""
"Last Sync:","آخر مزامنة:",""
"Status:","الحالة:",""
"Auto-Sync:","المزامنة التلقائية:",""
"Refreshing...","جاري التحديث...",""
"Refresh Items","تحديث العناصر",""
"Refreshing items...","جاري تحديث العناصر...",""
"Refresh items list","تحديث قائمة العناصر",""
"Empty","فارغ",""
"Syncing","جاري المزامنة",""
"Ready","جاهز",""
"Never","أبداً",""
"Cache empty","ذاكرة التخزين المؤقت فارغة",""
"Cache syncing","جاري مزامنة ذاكرة التخزين المؤقت",""
"Cache ready","ذاكرة التخزين المؤقت جاهزة",""
"Access your point of sale system","الدخول لنقطة البيع",""
"Your cart is empty","سلة التسوق فارغة",""
